name,stars,forks,language,created_at
system-design-primer,339718,54972,Python,2017-02-26T16:15:28Z
awesome-python,288332,27458,Python,2014-06-27T21:00:06Z
project-based-learning,261387,34031,,2017-04-12T05:07:46Z
Python,218933,50232,Python,2016-07-16T09:44:01Z
tensorflow,194296,75251,C++,2015-11-07T01:19:20Z
CS-Notes,183978,51133,,2018-02-13T14:56:24Z
AutoGPT,182669,46225,Python,2023-03-16T09:21:07Z
transformers,158202,32560,Python,2018-10-29T13:56:00Z
yt-dlp,152411,12364,Python,2020-10-26T04:22:55Z
HelloGitHub,146944,11249,Python,2016-05-04T06:24:11Z
dify,133856,20850,TypeScript,2023-04-12T07:40:24Z
langchain,130493,21497,Python,2022-10-17T02:58:36Z
free-programming-books-zh_CN,116487,28318,,2013-11-04T01:59:19Z
ComfyUI,106553,12268,Python,2023-01-17T03:15:56Z
awesome-llm-apps,103047,15023,Python,2024-04-29T05:30:25Z
pytorch,98472,27264,Python,2016-08-13T05:26:41Z
fastapi,96452,8896,Python,2018-12-08T08:21:47Z
thefuck,95742,3856,Python,2015-04-08T15:08:04Z
LLMs-from-scratch,88910,13573,Jupyter Notebook,2023-07-23T18:15:57Z
django,87122,33777,Python,2012-04-28T02:47:18Z
core,85508,37026,Python,2013-09-17T07:29:48Z
manim,85428,7173,Python,2015-03-22T18:50:58Z
ML-For-Beginners,84624,20340,Jupyter Notebook,2021-03-03T01:34:05Z
browser-use,81796,9629,Python,2024-10-31T16:00:56Z
uv,81679,2822,Rust,2023-10-02T20:24:11Z
devops-exercises,81616,18867,Python,2019-10-03T17:31:21Z
d2l-zh,76379,12169,Python,2017-08-23T04:40:24Z
sherlock,73951,8777,Python,2018-12-24T14:30:48Z
flask,71395,16755,Python,2010-04-06T11:11:59Z
superset,71045,16830,TypeScript,2015-07-21T18:55:34Z
ansible,68355,24180,Python,2012-03-06T14:58:02Z
scikit-learn,65491,26825,Python,2010-08-17T09:43:38Z
localstack,64716,4605,Python,2016-10-25T23:48:03Z
keras,63948,19740,Python,2015-03-28T00:35:42Z
OpenBB,63388,6230,Python,2020-12-20T10:46:38Z
open-interpreter,62805,5414,Python,2023-07-14T07:10:44Z
nerd-fonts,62116,3869,CSS,2014-12-05T04:31:17Z
pathway,61791,1609,Python,2022-11-27T13:01:14Z
scrapy,60925,11376,Python,2010-02-22T02:01:14Z
leetcode-master,60822,12338,Shell,2019-12-14T12:05:42Z
30-Days-Of-Python,59832,11409,Python,2019-11-19T17:24:16Z
Real-Time-Voice-Cloning,59545,9422,Python,2019-05-26T08:56:15Z
MinerU,56731,4700,Python,2024-02-29T08:52:34Z
face_recognition,56216,13707,Python,2017-03-03T21:52:39Z
rich,55829,2069,Python,2019-11-10T15:28:09Z
leetcode,55817,9438,JavaScript,2018-03-30T09:13:51Z
gpt-engineer,55230,7315,Python,2023-04-29T12:52:15Z
ultralytics,54771,10529,Python,2022-09-11T16:39:45Z
requests,53891,9790,Python,2011-02-13T18:38:17Z
mem0,50616,5646,Python,2023-06-20T08:58:36Z
MoneyPrinterTurbo,50512,7195,Python,2024-03-11T02:57:34Z
100-Days-Of-ML-Code,50006,11364,,2018-07-05T09:11:43Z
odoo,49669,31861,Python,2014-05-13T15:38:58Z
TrendRadar,49486,22746,Python,2025-04-28T11:42:16Z
pandas,48205,19768,Python,2010-08-24T01:37:33Z
open-source-mac-os-apps,47917,2497,,2017-11-03T02:35:33Z
freqtrade,47885,9992,Python,2017-05-17T23:48:53Z
PythonDataScienceHandbook,47092,18792,Jupyter Notebook,2016-08-10T14:24:36Z
Made-With-ML,46901,7360,Jupyter Notebook,2018-11-05T03:44:27Z
plane,46832,3772,TypeScript,2022-11-19T12:55:01Z
ruff,46574,1940,Rust,2022-08-09T17:17:44Z
GitHubDaily,45714,4584,,2018-12-30T13:56:58Z
TTS,44881,6006,Python,2020-05-20T15:45:28Z
airflow,44732,16755,Python,2015-04-13T18:04:58Z
pyenv,44461,3245,Shell,2012-08-31T06:57:52Z
streamlit,43962,4151,Python,2019-08-24T00:14:52Z
TensorFlow-Examples,43789,14787,Jupyter Notebook,2015-11-11T14:21:19Z
sentry,43417,4641,Python,2010-08-30T22:06:41Z
spark,43010,29132,Scala,2014-02-25T08:00:08Z
python-patterns,42802,7045,Python,2012-06-06T21:02:35Z
mitmproxy,42751,4490,Python,2010-02-16T04:10:13Z
full-stack-fastapi-template,42191,8244,TypeScript,2019-02-23T15:08:34Z
ailearning,42134,11593,Python,2017-02-25T08:53:02Z
gradio,42093,3341,Python,2018-12-19T08:24:04Z
ray,41828,7371,Python,2016-10-25T19:38:30Z
black,41440,2740,Python,2018-03-14T19:54:45Z
qlib,39144,6097,Python,2020-08-14T06:46:00Z
ChatTTS,38958,4227,Python,2024-05-27T18:26:49Z
agno,38844,5146,Python,2022-05-04T15:23:02Z
python-cheatsheet,38299,6736,Python,2018-01-25T04:16:53Z
vnpy,38100,11155,Python,2015-03-02T03:36:58Z
polars,37817,2699,Rust,2020-05-13T19:45:33Z
cli,37747,3831,Python,2012-02-25T12:39:13Z
Open-Assistant,37435,3306,Python,2022-12-13T05:24:17Z
manim,37306,2734,Python,2020-05-19T02:37:13Z
wtfpython,36908,2664,Python,2017-08-28T20:22:19Z
sqlmap,36883,6223,Python,2012-06-26T09:52:15Z
supervision,36748,3147,Python,2022-11-28T14:08:44Z
Sunshine,35455,1780,C++,2021-12-15T23:38:57Z
learn-claude-code,35229,5657,TypeScript,2025-06-29T15:34:15Z
textual,34955,1137,Python,2021-04-08T15:24:47Z
Hello-Python,34865,2263,Python,2022-08-03T17:14:53Z
langextract,34827,2336,Python,2025-07-08T20:46:06Z
poetry,34321,2416,Python,2018-02-28T15:23:47Z
Data-Science-For-Beginners,34295,7015,Jupyter Notebook,2021-03-03T16:30:15Z
selenium,34159,8660,Java,2013-01-14T21:40:56Z
spaCy,33363,4659,Python,2014-07-03T15:15:40Z
OCRmyPDF,33010,2291,Python,2013-12-20T08:26:28Z
certbot,32916,3495,Python,2014-11-12T02:52:20Z
deer-flow,32457,3953,Python,2025-05-07T02:50:19Z
PDFMathTranslate,32387,2918,Python,2024-09-06T06:56:03Z
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,32386,6972,,2021-01-02T12:08:37Z
erpnext,32380,10718,Python,2011-06-08T08:20:56Z
fairseq,32194,6676,Python,2017-08-29T16:26:12Z
posthog,32164,2421,Python,2020-01-23T22:46:58Z
glances,32124,1703,Python,2011-12-04T08:49:15Z
kitty,31978,1319,Python,2016-10-16T14:48:28Z
Scrapling,31673,2512,Python,2024-10-13T20:29:53Z
numpy,31634,12182,Python,2010-09-13T23:02:39Z
interactive-coding-challenges,31259,4640,Python,2015-04-28T21:36:39Z
tqdm,31051,1441,Python,2015-06-03T13:13:14Z
pytorch-lightning,30950,3692,Python,2019-03-31T00:45:57Z
openai-python,30329,4650,Python,2020-10-25T23:23:54Z
awesome-python-cn,30281,7976,Makefile,2015-11-03T09:50:50Z
jumpserver,30097,5681,Python,2014-07-04T03:54:59Z
hosts,30056,2398,Python,2012-04-12T20:22:50Z
django-rest-framework,29933,7078,Python,2011-03-02T17:13:56Z
python-guide,29543,5903,Batchfile,2011-03-15T03:24:20Z
Jobs_Applier_AI_Agent_AIHawk,29520,4495,Python,2024-08-04T12:15:06Z
EasyOCR,29128,3541,Python,2020-03-14T11:46:39Z
python-telegram-bot,28959,6005,Python,2015-07-07T15:30:39Z
data-science-ipython-notebooks,28939,8024,Python,2015-01-23T19:38:29Z
PythonRobotics,28931,7240,Python,2016-03-21T09:34:43Z
d2l-en,28458,4994,Python,2018-10-09T01:04:37Z
redash,28293,4565,Python,2013-10-28T13:19:39Z
celery,28288,4996,Python,2009-04-24T11:31:24Z
reflex,28252,1699,Python,2022-10-25T03:08:48Z
python-fire,28155,1474,Python,2017-02-21T21:35:07Z
spleeter,28105,3063,Python,2019-09-26T15:40:46Z
mihomo,28002,3774,Python,2021-05-20T11:06:33Z
fastai,27923,7674,Jupyter Notebook,2017-09-09T17:43:36Z
locust,27624,3192,Python,2011-02-17T11:08:03Z
composio,27464,4485,TypeScript,2024-02-23T13:58:27Z
pydantic,27295,2502,Python,2017-05-03T21:23:58Z
ArchiveBox,27096,1496,Python,2017-05-05T08:50:14Z
langgraph,27073,4662,Python,2023-08-09T18:33:12Z
searxng,26933,2632,Python,2021-04-12T15:18:15Z
awesome-ai-agents,26739,2496,,2023-06-19T00:20:06Z
CS-Books,26491,4091,,2021-01-10T09:49:05Z
Resume-Matcher,26371,4747,TypeScript,2020-04-08T03:26:49Z
AstrBot,26327,1799,Python,2022-12-08T13:27:46Z
RAG_Techniques,26156,3095,Jupyter Notebook,2024-07-13T16:08:36Z
gpt-researcher,25897,3451,Python,2023-05-12T10:33:54Z
flink,25880,13901,Java,2014-06-07T07:00:10Z
handson-ml,25827,12846,Jupyter Notebook,2016-02-16T19:48:39Z
flatbuffers,25701,3520,C++,2014-05-19T18:33:01Z
Python,25460,5458,,2017-06-07T11:52:22Z
algorithms,25401,4735,Python,2016-11-17T22:32:08Z
asdf,25181,921,Go,2014-11-29T04:41:43Z
pipenv,25100,1879,Python,2017-01-20T00:44:02Z
